"","Estacoes","R2_Chuva","R2_Diario","R2_Decendial","R2_Mensal"
"1","82024_BOA_VISTA",0.443,0.52,0.677,0.708
"2","82042_CARACARAI",0.316,0.381,0.58,0.63
"3","82067_IAUARETE",0.212,0.246,0.225,0.084
"4","82098_MACAPA",0.396,0.448,0.708,0.785
"5","82106_SAO_GABRIEL_DA_CACHOEIRA_(UAUPES)",0.362,0.361,0.516,0.438
"6","82113_BARCELOS",0.253,0.277,0.416,0.481
"7","82141_SOURE",0.383,0.471,0.822,0.924
"8","82145_TRACUATEUA_(BRAGANCA)",0.38,0.444,0.77,0.841
"9","82178_OBIDOS",0.427,0.452,0.733,0.837
"10","82181_MONTE_ALEGRE",0.403,0.417,0.44,0.42
"11","82184_PORTO_DE_MOZ",0.383,0.448,0.664,0.777
"12","82188_BREVES",0.345,0.399,0.534,0.572
"13","82191_BELEM",0.136,0.226,0.554,0.641
"14","82198_TURIACU",0.235,0.339,0.608,0.728
"15","82212_FONTE_BOA",0.237,0.27,0.562,0.674
"16","82246_BELTERRA",0.337,0.35,0.738,0.697
"17","82263_CAMETA",0.414,0.465,0.609,0.702
"18","82280_SAO_LUIS",0.301,0.385,0.621,0.656
"19","82287_PARNAIBA",0.219,0.276,0.65,0.755
"20","82317_TEFE",0.295,0.315,0.532,0.587
"21","82326_CODAJAS",0.155,0.197,0.689,0.734
"22","82331_MANAUS",0.1,0.14,0.494,0.377
"23","82336_ITACOATIARA",0.152,0.199,0.471,0.386
"24","82353_ALTAMIRA",0.59,0.625,0.763,0.838
"25","82361_TUCURUI",0.602,0.652,0.792,0.834
"26","82376_ZE_DOCA",0.344,0.435,0.77,0.822
"27","82382_CHAPADINHA",0.091,0.221,0.731,0.809
"28","82392_SOBRAL",0.153,0.296,0.741,0.863
"29","82397_FORTALEZA",0.423,0.445,0.753,0.86
"30","82410_BENJAMIN_CONSTANT",0.303,0.359,0.6,0.703
"31","82445_ITAITUBA",0.268,0.286,0.495,0.593
"32","82460_BACABAL",0.294,0.383,0.759,0.865
"33","82476_CAXIAS",0.373,0.478,0.743,0.758
"34","82480_PIRIPIRI",0.167,0.271,0.628,0.846
"35","82487_GUARAMIRANGA",0.5,0.56,0.85,0.932
"36","82493_JAGUARUANA",0.401,0.455,0.839,0.852
"37","82533_MANICORE",0.289,0.306,0.472,0.595
"38","82562_MARABA",0.497,0.528,0.732,0.803
"39","82564_IMPERATRIZ",0.361,0.416,0.6,0.564
"40","82571_BARRA_DO_CORDA",0.417,0.443,0.495,0.456
"41","82578_TERESINA",0.53,0.591,0.855,0.936
"42","82583_CRATEUS",0.438,0.528,0.799,0.821
"43","82586_QUIXERAMOBIM",0.266,0.342,0.743,0.702
"44","82588_Morada_Nova",0.143,0.261,0.491,0.66
"45","82590_APODI",0.354,0.424,0.65,0.71
"46","82594_MACAU",0.124,0.217,0.612,0.645
"47","82596_CEARA_MIRIM",0.266,0.325,0.644,0.613
"48","82598_NATAL",0.436,0.436,0.787,0.855
"49","82610_EIRUNEPE",0.154,0.18,0.616,0.817
"50","82659_ARAGUAINA",0.159,0.21,0.545,0.501
"51","82676_COLINAS",0.375,0.398,0.579,0.574
"52","82678_FLORIANO",0.646,0.674,0.868,0.928
"53","82683_TAUA",0.356,0.411,0.76,0.903
"54","82686_IGUATU",0.213,0.323,0.569,0.609
"55","82689_SAO_GONCALO",0.614,0.677,0.813,0.874
"56","82690_Serido_(Caico)",0.373,0.463,0.819,0.864
"57","82691_FLORANIA",0.245,0.333,0.735,0.842
"58","82693_CRUZETA",0.374,0.381,0.781,0.816
"59","82696_AREIA",0.462,0.501,0.715,0.71
"60","82723_LABREA",0.311,0.358,0.584,0.729
"61","82753_OURICURI",0.269,0.321,0.481,0.785
"62","82765_CAROLINA",0.108,0.162,0.592,0.65
"63","82768_BALSAS",0.173,0.209,0.624,0.755
"64","82777_CAMPOS_SALES",0.157,0.226,0.5,0.698
"65","82780_PICOS",0.315,0.406,0.8,0.95
"66","82784_BARBALHA",0.377,0.467,0.644,0.676
"67","82789_TRIUNFO",0.425,0.478,0.549,0.655
"68","82791_PATOS",0.592,0.641,0.783,0.786
"69","82792_MONTEIRO",0.316,0.261,0.438,0.615
"70","82795_CAMPINA_GRANDE",0.475,0.51,0.743,0.758
"71","82797_SURUBIM",0.429,0.417,0.515,0.641
"72","82798_JOAO_PESSOA",0.636,0.619,0.774,0.813
"73","82807_TARAUACA",0.176,0.218,0.588,0.638
"74","82861_CONCEICAO_DO_ARAGUAIA",0.145,0.219,0.688,0.898
"75","82863_PEDRO_AFONSO",0.096,0.182,0.697,0.835
"76","82879_SAO_JOAO_DO_PIAUI",0.193,0.275,0.495,0.643
"77","82882_PAULISTANA",0.276,0.37,0.75,0.89
"78","82886_CABROBO",0.345,0.402,0.654,0.747
"79","82890_ARCOVERDE",0.143,0.238,0.428,0.654
"80","82893_GARANHUNS",0.412,0.388,0.27,0.229
"81","82900_RECIFE_(CURADO)",0.686,0.707,0.802,0.793
"82","82915_RIO_BRANCO",0.331,0.368,0.649,0.759
"83","82970_ALTO_PARNAIBA",0.098,0.182,0.679,0.798
"84","82975_BOM_JESUS_DO_PIAUI",0.061,0.161,0.662,0.798
"85","82976_CARACOL",0.209,0.298,0.782,0.773
"86","82979_REMANSO",0.429,0.471,0.714,0.908
"87","82983_PETROLINA",0.267,0.357,0.799,0.86
"88","82989_AGUA_BRANCA",0.36,0.428,0.687,0.922
"89","82990_PAO_DE_ACUCAR",0.446,0.481,0.724,0.887
"90","82992_PALMEIRA_DOS_INDIOS",0.356,0.41,0.843,0.927
"91","82994_MACEIO",0.437,0.422,0.729,0.689
"92","82996_PORTO_DE_PEDRAS",0.661,0.652,0.734,0.746
"93","83004_Sao_Paulo_(IAG)",0.15,0.283,0.667,0.676
"94","83033_PALMAS",0.132,0.171,0.667,0.805
"95","83064_PORTO_NACIONAL",0.133,0.19,0.681,0.874
"96","83076_SANTA_RITA_DE_CASSIA_(IBIPETUBA)",0.403,0.508,0.881,0.959
"97","83090_MONTE_SANTO",0.345,0.41,0.908,0.955
"98","83096_ARACAJU",0.333,0.379,0.768,0.853
"99","83097_PROPRIA",0.232,0.237,0.908,0.909
"100","83179_BARRA",0.18,0.271,0.619,0.887
"101","83182_IRECE",0.124,0.271,0.784,0.888
"102","83184_MORRO_DO_CHAPEU",0.21,0.244,0.788,0.899
"103","83186_JACOBINA",0.535,0.587,0.876,0.923
"104","83190_SERRINHA",0.291,0.352,0.779,0.879
"105","83192_CIPO",0.384,0.421,0.716,0.83
"106","83195_ITABAIANINHA",0.274,0.32,0.558,0.761
"107","83214_MATUPA",0.278,0.346,0.755,0.88
"108","83221_Feira_de_Santana",0.49,0.524,0.822,0.824
"109","83222_CRUZ_DAS_ALMAS",0.507,0.516,0.796,0.838
"110","83228_PEIXE",0.278,0.349,0.715,0.803
"111","83229_SALVADOR_(ONDINA)",0.469,0.474,0.618,0.518
"112","83235_TAGUATINGA",0.35,0.406,0.803,0.913
"113","83236_BARREIRAS",0.392,0.463,0.872,0.894
"114","83242_LENCOIS",0.325,0.435,0.766,0.882
"115","83244_ITABERABA",0.602,0.643,0.841,0.911
"116","83249_ALAGOINHAS",0.3,0.358,0.556,0.658
"117","83270_CANARANA",0.281,0.338,0.751,0.791
"118","83286_CORRENTINA",0.213,0.33,0.718,0.739
"119","83288_BOM_JESUS_DA_LAPA",0.558,0.62,0.809,0.835
"120","83292_ITUACU",0.349,0.483,0.757,0.889
"121","83309_DIAMANTINO",0.319,0.392,0.663,0.818
"122","83319_NOVA_XAVANTINA_(XAVANTINA)",0.32,0.394,0.81,0.872
"123","83332_POSSE",0.111,0.217,0.698,0.837
"124","83334_FORMOSO",0.243,0.352,0.786,0.9
"125","83338_ESPINOSA",0.112,0.205,0.803,0.867
"126","83339_CAETITE",0.391,0.482,0.847,0.927
"127","83344_VITORIA_DA_CONQUISTA",0.38,0.466,0.847,0.884
"128","83358_POXOREO_(POXOREU)",0.235,0.31,0.554,0.558
"129","83361_CUIABA",0.2,0.257,0.543,0.625
"130","83363_SAO_VICENTE",0.139,0.197,0.588,0.752
"131","83364_PE_RICARDO_REMETTER_(ST_ANT_LEVREG)",0.21,0.264,0.73,0.767
"132","83368_ARAGARCAS",0.193,0.277,0.696,0.765
"133","83376_PIRENOPOLIS",0.285,0.362,0.661,0.768
"134","83377_BRASILIA",0.163,0.29,0.684,0.844
"135","83379_FORMOSA",0.245,0.337,0.826,0.948
"136","83384_ARINOS",0.284,0.398,0.765,0.873
"137","83386_JANUARIA",0.162,0.282,0.819,0.854
"138","83393_PEDRA_AZUL",0.23,0.36,0.792,0.803
"139","83398_CANAVIEIRAS",0.431,0.473,0.7,0.685
"140","83408_CARINHANHA",0.339,0.434,0.863,0.88
"141","83423_GOIANIA",0.249,0.329,0.681,0.844
"142","83428_UNAI",0.354,0.462,0.836,0.892
"143","83437_MONTES_CLAROS",0.322,0.462,0.813,0.894
"144","83441_SALINAS",0.275,0.402,0.776,0.787
"145","83442_ARACUAI",0.322,0.422,0.652,0.691
"146","83446_GUARATINGA",0.461,0.515,0.706,0.699
"147","83464_JATAI",0.155,0.199,0.607,0.741
"148","83470_RIO_VERDE",0.274,0.36,0.547,0.658
"149","83479_PARACATU",0.178,0.297,0.803,0.873
"150","83481_JOAO_PINHEIRO",0.378,0.475,0.799,0.835
"151","83483_PIRAPORA",0.335,0.379,0.691,0.813
"152","83488_ITAMARANDIBA",0.299,0.36,0.577,0.589
"153","83492_TEOFILO_OTONI",0.306,0.418,0.752,0.836
"154","83498_CARAVELAS",0.383,0.439,0.691,0.636
"155","83513_NHUMIRIM_(NHECOLANDIA)",0.325,0.381,0.682,0.772
"156","83514_CAPINOPOLIS",0.309,0.393,0.735,0.902
"157","83522_IPAMERI",0.266,0.357,0.68,0.729
"158","83526_CATALAO",0.172,0.255,0.62,0.809
"159","83531_PATOS_DE_MINAS",0.483,0.563,0.745,0.789
"160","83538_DIAMANTINA",0.333,0.406,0.699,0.812
"161","83550_SAO_MATEUS",0.28,0.346,0.743,0.737
"162","83565_PARANAIBA",0.225,0.322,0.625,0.708
"163","83577_UBERABA",0.217,0.323,0.655,0.817
"164","83579_ARAXA",0.315,0.403,0.72,0.828
"165","83582_BAMBUI",0.27,0.34,0.8,0.853
"166","83587_BELO_HORIZONTE",0.423,0.44,0.429,0.557
"167","83589_CONCEICAO_DO_MATO_DENTRO",0.238,0.335,0.652,0.74
"168","83592_CARATINGA",0.461,0.544,0.797,0.829
"169","83623_VOTUPORANGA",0.277,0.348,0.648,0.724
"170","83630_FRANCA",0.291,0.396,0.846,0.893
"171","83635_Divinopolis",0.224,0.327,0.647,0.773
"172","83639_CAPARAO",0.515,0.574,0.738,0.661
"173","83642_VICOSA",0.331,0.438,0.836,0.915
"174","83648_VITORIA",0.414,0.475,0.811,0.868
"175","83669_SAO_SIMAO",0.164,0.256,0.54,0.528
